arm,km,layer,x,y,bed_raw,bed,bed_env,status_L,d_L,lon_L,lat_L,z_L,slope_L,sig_L,stage_L,flags_L,status_R,d_R,lon_R,lat_R,z_R,slope_R,sig_R,stage_R,flags_R,stage,stage_n,width,Rc,turn_deg,outer,dh,dh_sig,v_super,v_lo,v_hi,v_quality,A,Q,Fr,valid_frac,changed_L,changed_R,d_pre_L,d_pre_R,d_start_L,d_start_R,d_last_L,d_last_R,prebare_L,prebare_R,dem_src_L,dem_src_R,bridged
main,19.00,s2,342847.7,3131181.6,1966.8264,1966.8264,1966.8264,ok,85.0,85.398153,28.297153,2092.9,0.42,9.04,126.03491,,ok,245.0,85.394986,28.297847,2161.0,1.32,20.15,194.13062,side-valley,126.0,1,330.0,409.4,40.69,R,68.1,22.09,28.79,17.36,45.15,weak,,,0.73,1.00,1,1,,45.00,0.00,0.00,,,0,0,0,1,0
main,19.00,s2chg,342847.7,3131181.6,1966.8264,1966.8264,1966.8264,ok,85.0,85.398153,28.297153,2092.9,0.42,9.04,126.03491,,ok,155.0,85.395876,28.297652,2189.6,0.92,16.74,222.81104,side-valley,126.0,1,240.0,409.4,40.69,R,96.8,19.03,40.24,26.47,60.0,weak,,,0.97,1.00,1,1,,45.00,0.00,0.00,,,0,0,0,0,0
main,19.10,s2,342849.3,3131082.1,1958.9845,1958.9845,1958.9845,ok,115.0,85.398511,28.296396,2123.6,0.66,12.73,164.59753,,ok,225.0,85.395148,28.296497,2155.6,0.73,11.35,196.59021,side-valley,164.6,1,340.0,3155.7,5.10,,,,,,,,,,,1.00,1,1,5.00,55.0,0.00,0.00,,,0,0,0,1,0
main,19.10,s2chg,342849.3,3131082.1,1958.9845,1958.9845,1958.9845,ok,115.0,85.398511,28.296396,2123.6,0.66,12.73,164.59753,,ok,225.0,85.395148,28.296497,2155.6,0.73,11.35,196.59021,side-valley,164.6,1,340.0,3155.7,5.10,,,,,,,,,,,1.00,1,1,5.00,55.0,0.00,0.00,,,0,0,0,1,0
main,19.20,s2,342847.6,3130984.2,1995.377,1958.9845,1958.9845,ok,115.0,85.398487,28.295358,2135.8,0.96,17.42,176.78186,,ok,205.0,85.395383,28.295886,2115.5,,,156.52942,side-valley,176.8,1,320.0,722.9,23.31,L,20.25,,,,,,,,,1.00,1,1,,45.00,0.00,0.00,,,0,0,0,1,0
main,19.20,s2chg,342847.6,3130984.2,1995.377,1958.9845,1958.9845,ok,115.0,85.398487,28.295358,2135.8,0.96,17.42,176.78186,,ok,205.0,85.395383,28.295886,2115.5,,,156.52942,side-valley,176.8,1,320.0,722.9,23.31,L,20.25,,,,,,,,,1.00,1,1,,45.00,0.00,0.00,,,0,0,0,1,0
main,19.30,s2,342817.1,3130892.3,2002.1912,1958.9845,1958.9845,ok,145.0,85.398412,28.294241,2078.7,1.12,17.14,119.72522,,ok,205.0,85.395196,28.295386,2086.6,1.38,21.20,127.63318,side-valley,119.7,1,350.0,545.3,31.38,L,-7.91,27.26,,,,,,,,1.00,1,1,25.00,55.0,0.00,0.00,,,0,0,1,1,0
main,19.30,s2chg,342817.1,3130892.3,2002.1912,1958.9845,1958.9845,ok,145.0,85.398412,28.294241,2078.7,1.12,17.14,119.72522,,ok,205.0,85.395196,28.295386,2086.6,1.38,21.20,127.63318,side-valley,119.7,1,350.0,545.3,31.38,L,-7.91,27.26,,,,,,,,1.00,1,1,25.00,55.0,0.00,0.00,,,0,0,1,1,0
main,19.40,s2,342761.0,3130809.7,1940.746,1940.746,1940.746,ok,185.0,85.398043,28.293046,2085.8,1.22,18.67,145.04529,,ok,155.0,85.395263,28.294724,2059.1,1.80,27.52,118.352905,side-valley,145.0,1,340.0,707.5,23.85,L,26.69,33.26,,,,,,,,0.97,1,1,35.00,35.00,0.00,0.00,,,0,0,1,1,0
main,19.40,s2chg,342761.0,3130809.7,1940.746,1940.746,1940.746,ok,185.0,85.398043,28.293046,2085.8,1.22,18.67,145.04529,,ok,155.0,85.395263,28.294724,2059.1,1.80,27.52,118.352905,side-valley,145.0,1,340.0,707.5,23.85,L,26.69,33.26,,,,,,,,0.97,1,1,35.00,35.00,0.00,0.00,,,0,0,1,1,0
main,19.50,s2,342701.4,3130729.8,1990.1005,1940.746,1940.746,ok,155.0,85.397122,28.292385,2078.3,1.13,20.09,137.51941,,ok,145.0,85.394817,28.294024,2082.6,0.99,17.93,141.87854,side-valley,137.5,1,300.0,1729.4,9.76,L,-4.36,26.92,,,,,,,,0.98,1,1,15.00,45.00,0.00,0.00,,,0,0,0,0,0
